1633696219,Book Depository CA,73.29,New,Right Shift LLC,56.0,New,True,56.0,74.48,-0.24,-0.31,-0.35
0134583302,Amazon,78.15,New,TEXTBookAMAZING,36.99,New,True,36.99,49.19670000000001,-0.53,-0.57,-0.6
089869244X,Amazon,99.19,New,TrillyandTruly,48.07,Used - Good,True,48.07,63.9331,-0.52,-0.56,-0.59
1305861868,Kennys Bookshop & Art Gallery,131.04999999999998,New,Books Kaizen,92.99,Used - Very Good,True,92.99,123.6767,-0.29,-0.36,-0.4
0073383090,fakeDict,-99,something wrong happened,SellingBooksForSchool,77.75,Used - Good,True,77.75,103.4075,-1.79,-1.71,-1.67
0815344325,Kelowna Books,221.44,New,usedbooks2ya,98.74,Used - Very Good,True,98.74,131.3242,-0.55,-0.6,-0.62
0826134742,Distant_books,62.95,Used - Like New,itemspopularsonlineaindemand,40.25,New,True,40.25,53.532500000000006,-0.36,-0.42,-0.46
0134112830,Hinoyama#CA,323.85,Used - Very Good,FranklinMedia,69.11,Used - Acceptable,True,69.11,91.9163,-0.79,-0.81,-0.82
1401207138,The Comic Hunter (Moncton),98.9,Used - Very Good,Amazon,72.99,New,False,72.99,97.0767,-0.26,-0.34,-0.37
1439840954,Amazon,93.4,New,ayvax,68.19,New,True,68.19,90.6927,-0.27,-0.34,-0.38
0521833787,Textbooks for Change,98.74,Used - Good,Amazon,67.35,New,False,67.35,89.57549999999999,-0.32,-0.39,-0.42
1319057446,Talk of the Tome Books,67.48,New,FCD Books & More,57.17,Used - Good,True,57.17,76.0361,-0.15,-0.24,-0.28
013454353X,Second Bind,155.03,Used - Like New,yin-yang,129.0,Used - Good,True,129.0,171.57000000000002,-0.17,-0.25,-0.29
1617952796,Amazon,82.6,New,Amazon,54.1,New,False,54.1,71.953,-0.35,-0.41,-0.44
0310452775,Amazon,68.39,New,Lower-Christian-Prices,50.01,New,True,50.01,66.5133,-0.27,-0.34,-0.38
0891896600,BLU-NEKO*CA,666.82,Used - Very Good,Amazon,89.0,New,False,89.0,118.37,-0.87,-0.88,-0.89
1433544040,Kennys Bookshop & Art Gallery,80.48,New,Amazon,80.99,New,False,80.99,107.7167,0.01,-0.09,-0.14
0134775651,Amazon,90.42,New,Amazon,58.46,New,False,58.46,77.7518,-0.35,-0.42,-0.45
1483344371,Amazon,92.37,New,Amazon,64.92,New,False,64.92,86.34360000000001,-0.3,-0.37,-0.4
0071390111,Amazon,121.72,New,BnM,80.21,Collectible - Like New,True,80.21,106.6793,-0.34,-0.41,-0.44
1591265304,TextbooksMarket,79.99,Used - Good,PPI - ppi2pass (authorized publisher),94.5,New,True,94.5,125.685,0.18,0.06,0.0
159126443X,Amazon,180.82,New,Tome Dealers,78.94,Used - Good,True,78.94,104.9902,-0.56,-0.61,-0.63
1479391271,Amazon,117.79,New,Crestwood Sales,69.69,Used - Good,True,69.69,92.6877,-0.41,-0.47,-0.5
0190276096,Textbook Fortune,67.99,Used - Good,HigherEdBooks5,58.33,Used - Very Good,True,58.33,77.5789,-0.14,-0.23,-0.27
1259706613,Amazon,288.92,New,Savage Textbooks 📚,99.99,Used - Good,True,99.99,132.9867,-0.65,-0.69,-0.71
1401897258,Amazon,95.45,New,Green Book Savers,92.97,Used - Good,True,92.97,123.65010000000001,-0.03,-0.12,-0.17
1586179721,Amazon,80.95,New,Amazon,56.0,New,False,56.0,74.48,-0.31,-0.38,-0.41
1111578702,Hinoyama#CA,198.25,Used - Good,Textbooks for Heroes,85.99,Used - Good,True,85.99,114.3667,-0.57,-0.61,-0.63
0781445418,Amazon,85.4,New,Amazon,60.99,New,False,60.99,81.11670000000001,-0.29,-0.36,-0.39
1305498208,Russell-books,321.91,New,Perpetual Textbooks,69.83,Used - Good,True,69.83,92.8739,-0.78,-0.8,-0.82
1305104943,Distant_books,76.41,Used - Like New,apex_media,45.66,New,True,45.66,60.7278,-0.4,-0.46,-0.49
928324494X,Amazon,189.0,New,Books In Demand,103.79,Used - Very Good,True,103.79,138.04070000000002,-0.45,-0.51,-0.53
1418542253,Amazon,90.51,New,Inside Zone,59.99,Used - Like New,True,59.99,79.78670000000001,-0.34,-0.4,-0.44
013480208X,Book Depository CA,144.41,New,Eric's Books & More,71.63,Used - Acceptable,True,71.63,95.2679,-0.5,-0.55,-0.58
1626886059,fakeDict,-99,something wrong happened,apex_media,53.39,Used - Good,True,53.39,71.0087,-1.54,-1.49,-1.46
1319071236,BookMobCanada,88.0,Used - Good,BizzyBumbleBeeBooks,76.99,Used - Acceptable,True,76.99,102.3967,-0.13,-0.21,-0.26
031043758X,Russell-books,131.42000000000002,New,Castle Combe Books,54.8,Used - Very Good,True,54.8,72.884,-0.58,-0.62,-0.65
0134605187,Amazon,197.0,New,Abundance Booksellers,99.25,Used - Acceptable,True,99.25,132.0025,-0.5,-0.55,-0.57
1684470560,Book Depository CA,110.12,New,Amazon,78.34,New,False,78.34,104.19220000000001,-0.29,-0.36,-0.4
0134060490,Amazon,199.0,New,Open Range Media,97.38,Used - Good,True,97.38,129.5154,-0.51,-0.56,-0.58
0393655776,Amazon,78.93,New,cheap affordable textbooks,52.99,Used - Like New,True,52.99,70.47670000000001,-0.33,-0.4,-0.43
1591265177,Amazon,112.5,New,Patrick  Miller,31.99,Used - Like New,True,31.99,42.5467,-0.72,-0.74,-0.76
1401243142,Amazon,123.95,New,Amazon,83.91,New,False,83.91,111.6003,-0.32,-0.39,-0.42
1535963433,Amazon,104.45,New,LifeWay Christian Store,79.99,New,True,79.99,106.3867,-0.23,-0.31,-0.35
1462513263,Amazon,95.09,New,WholeSale [WH]ero,68.0,New,True,68.0,90.44,-0.28,-0.36,-0.39
1319056644,Amazon,111.55,New,Amazon,76.94,New,False,76.94,102.3302,-0.31,-0.38,-0.41
013432076X,Amazon,182.49,New,Brandts,127.55,Used - Acceptable,True,127.55,169.6415,-0.3,-0.37,-0.41
032198238X,CA_BOOKDEPOT,106.88000000000001,Used - Good,Mega Discount Books,106.75,Used - Good,True,106.75,141.97750000000002,-0.0,-0.1,-0.15
1526600420,Book Depository CA,184.59,New,Amazon,136.66,New,False,136.66,181.7578,-0.26,-0.33,-0.37
1337109657,Amazon,170.31,New,RockCityBooks,79.22,Used - Acceptable,True,79.22,105.3626,-0.53,-0.58,-0.6
1612785093,Amazon,78.63,New,Amazon,47.99,New,False,47.99,63.82670000000001,-0.39,-0.45,-0.48
019527301X,Amazon,84.89,New,Amazon,65.31,New,False,65.31,86.8623,-0.23,-0.31,-0.35
0814252702,Amazon,96.53,New,grace0603,59.99,Used - Acceptable,True,59.99,79.78670000000001,-0.38,-0.44,-0.47
0134605195,Amazon,213.61,New,pefki books,159.99,Used - Very Good,True,159.99,212.78670000000002,-0.25,-0.33,-0.36
1305080483,University of Toronto Bookstore,150.0,New,ST MEDIA,55.28,Used - Good,True,55.28,73.5224,-0.63,-0.67,-0.69
0133826600,fakeDict,-99,something wrong happened,W.Triton,100.0,Used - Very Good,True,100.0,133.0,-2.01,-1.91,-1.86
1579478883,Amazon,180.93,New,Amazon,151.45,New,False,151.45,201.42849999999999,-0.16,-0.25,-0.29
0073523933,Distant_books,160.69,New,🎓 Graduation Station,58.99,Used - Good,True,58.99,78.45670000000001,-0.63,-0.67,-0.69
0130921955,UrbanInspirations,328.71,New,Amazon,138.66,New,False,138.66,184.4178,-0.58,-0.62,-0.64
1893858839,Amazon,263.02,New,yin-yang,140.0,Used - Good,True,140.0,186.20000000000002,-0.47,-0.52,-0.55
019060865X,Amazon,98.05,New,Amazon,72.12,New,False,72.12,95.91960000000002,-0.26,-0.34,-0.37
0134396022,TextbooksMarket,184.99,Used - Good,🕗 24HourTextBooks 🕗,160.77,Used - Good,True,160.77,213.82410000000002,-0.13,-0.22,-0.26
0134080416,Amazon,69.14,New,Amazon,56.99,New,False,56.99,75.7967,-0.18,-0.26,-0.3
1305071751,newstainlesskid,148.97,Used - Like New,Perpetual Textbooks,139.84,Used - Acceptable,True,139.84,185.9872,-0.06,-0.16,-0.2
1305397487,Kennys Bookshop & Art Gallery,115.1,New,Riverside Marketing,61.22,Used - Good,True,61.22,81.4226,-0.47,-0.52,-0.55
0321909100,Books 4 All The World,100.0,Used - Very Good,Benjamins Bookshelf,144.76,Used - Good,True,144.76,192.5308,0.45,0.3,0.23
0887073298,Amazon,74.09,New,Half-Price Hank's Books,54.97,Used - Good,True,54.97,73.1101,-0.26,-0.33,-0.37
0134045440,omnibook-ca,199.96,Used - Good,Perpetual Textbooks,110.66,Used - Good,True,110.66,147.1778,-0.45,-0.5,-0.53
0962644455,Amazon,156.66,New,Amazon,95.99,New,False,95.99,127.6667,-0.39,-0.45,-0.48
1609832906,Amazon,154.76,New,FlippingPages,102.51,Used - Good,True,102.51,136.3383,-0.34,-0.4,-0.44
1591264499,fakeDict,-99,something wrong happened,PPI - ppi2pass (authorized publisher),128.83,New,True,128.83,171.34390000000002,-2.3,-2.17,-2.11
1558291180,Amazon,111.68,New,apex_media,82.93,Used - Good,True,82.93,110.29690000000001,-0.26,-0.33,-0.37
1938939883,Amazon,71.2,New,Amazon,89.0,New,False,89.0,118.37,0.25,0.12,0.06
0134074254,BLU-NEKO*CA,305.85,Used - Good,Sales Leads,88.99,Used - Good,True,88.99,118.3567,-0.71,-0.74,-0.75
0134073541,fakeDict,-99,something wrong happened,Tome Dealers,69.99,Used - Acceptable,True,69.99,93.0867,-1.71,-1.64,-1.6
1605353809,Second Bind,142.15,Used - Like New,Amazon,86.7,New,False,86.7,115.311,-0.39,-0.45,-0.48
0989690601,Amazon,77.2,New,Amazon,54.22,New,False,54.22,72.1126,-0.3,-0.37,-0.4
1721851550,Amazon,77.07,New,Amazon,58.33,New,False,58.33,77.5789,-0.24,-0.32,-0.36
1305503074,Kennys Bookshop & Art Gallery,124.61,New,Unleash-Inc,75.0,New,True,75.0,99.75,-0.4,-0.46,-0.49
1337109665,CanadaWide Liquidations,146.89,Used - Good,bookscheap46,100.8,Used - Very Good,True,100.8,134.064,-0.31,-0.38,-0.42
1305646525,Virtual_Books,82.79,Used - Like New,RockCityBooks,98.89,Used - Acceptable,True,98.89,131.52370000000002,0.19,0.08,0.02
032197137X,Amazon,185.13,New,Perpetual Textbooks,130.94,Used - Acceptable,True,130.94,174.1502,-0.29,-0.36,-0.4
0785220852,Amazon,121.31,New,Amazon,89.43,New,False,89.43,118.94190000000002,-0.26,-0.34,-0.37
1936221861,Distant_books,91.0,New,WilyShopper,73.16,Used - Good,True,73.16,97.3028,-0.2,-0.28,-0.32
0073534498,Amazon,233.11,New,Good Book Creations,80.0,Used - Very Good,True,80.0,106.4,-0.66,-0.69,-0.71
1305576519,Distant_books,74.99,New,FlippingPages,52.52,Used - Good,True,52.52,69.8516,-0.3,-0.37,-0.4
1591943094,UrbanInspirations,134.3,New,bookexhibitor,62.8,New,True,62.8,83.524,-0.53,-0.58,-0.6
1506235484,Flipping Llama,399.99,New,Zephyr Global,89.0,Used - Good,True,89.0,118.37,-0.78,-0.8,-0.81
0134685776,Second Bind,164.73,New,Half-Price Hank's Books,80.17,Used - Good,True,80.17,106.62610000000001,-0.51,-0.56,-0.59
0134874374,fakeDict,-99,something wrong happened,KOPKO,163.9,Used - Very Good,True,163.9,217.98700000000002,-2.66,-2.49,-2.41
0801026938,Amazon,55.0,New,Amazon,52.49,New,False,52.49,69.8117,-0.05,-0.14,-0.19
1462774059,Amazon,196.77,New,LifeWay Christian Store,149.99,New,True,149.99,199.4867,-0.24,-0.31,-0.35
0310450756,BookOutlet Canada,120.88,Used - Like New,Helleborine Velvet,78.8,Used - Like New,True,78.8,104.804,-0.35,-0.41,-0.45
145221686X,Book Depository CA,66.08,New,FlippingPages,44.09,Used - Acceptable,True,44.09,58.639700000000005,-0.33,-0.4,-0.43
1433648083,Amazon,81.44,New,Lower-Christian-Prices,54.09,New,True,54.09,71.9397,-0.34,-0.4,-0.44
0914098918,omnibook-ca,148.83,Used - Good,RockCityBooks,93.83,Used - Good,True,93.83,124.79390000000001,-0.37,-0.43,-0.46
1305076516,U.R.G. Books,89.99,Used - Very Good,textbook500,84.95,Used - Good,True,84.95,112.9835,-0.06,-0.15,-0.2
0134395328,fakeDict,-99,something wrong happened,Goodbooks Company,102.7,Used - Good,True,102.7,136.591,-2.04,-1.93,-1.88
1614285918,Amazon,110.99,New,Books In Demand,80.67,Used - Acceptable,True,80.67,107.29110000000001,-0.27,-0.35,-0.38
0983141169,Amazon,98.21,New,Amazon,70.19,New,False,70.19,93.3527,-0.29,-0.36,-0.39
0134302389,Kelowna Books,176.44,New,Wholesale Textbooks Direct,108.77,Used - Good,True,108.77,144.6641,-0.38,-0.45,-0.48
1506347207,Lone_Gunman,125.95,Used - Very Good,"Apollo Distribution, LLC",63.88,Used - Good,True,63.88,84.9604,-0.49,-0.54,-0.57
1591432014,Amazon,101.18,New,BuyLow Warehouse LLC,55.67,Used - Acceptable,True,55.67,74.0411,-0.45,-0.5,-0.53
1471174824,fakeDict,-99,something wrong happened,eclipse books,53.98,New,True,53.98,71.7934,-1.55,-1.49,-1.46
0190905387,Amazon,65.29,New,Amazon,59.29,New,False,59.29,78.8557,-0.09,-0.18,-0.23
1455738115,Amazon,127.06,New,itemspopularsonlineaindemand,74.9,New,True,74.9,99.61700000000002,-0.41,-0.47,-0.5
1450477674,CLS FBA,124.99,Used - Very Good,apex_media,49.99,Used - Acceptable,True,49.99,66.48670000000001,-0.6,-0.64,-0.66
013429601X,Canada Thrift,149.99,Used - Very Good,🎓 Graduation Station,95.74,Used - Good,True,95.74,127.3342,-0.36,-0.43,-0.46
1337565695,Amazon,159.95,New,Audiophiles & Bibliophiles,99.99,Used - Acceptable,True,99.99,132.9867,-0.37,-0.44,-0.47
1640781692,Amazon,72.21,New,Amazon,59.97,New,False,59.97,79.76010000000001,-0.17,-0.25,-0.29
1260085511,Book Depository CA,90.0,New,TEXTBookAMAZING,55.5,New,True,55.5,73.815,-0.38,-0.44,-0.48
1496324811,Amazon,113.88,New,book182wire,56.15,New,True,56.15,74.6795,-0.51,-0.56,-0.58
0899579167,Amazon,90.28,New,Amazon,59.81,New,False,59.81,79.5473,-0.34,-0.4,-0.44
0134893751,Amazon,108.31,New,Amazon,75.98,New,False,75.98,101.05340000000001,-0.3,-0.37,-0.4
0870610635,Amazon,209.21,New,Amazon,189.23,New,False,189.23,251.6759,-0.1,-0.19,-0.23
0521876222,Amazon,79.95,New,Amazon,51.15,New,False,51.15,68.0295,-0.36,-0.42,-0.46
1319056636,Amazon,111.92,New,Amazon,75.8,New,False,75.8,100.81400000000001,-0.32,-0.39,-0.42
1412981816,Amazon,82.95,New,Amazon,61.0,New,False,61.0,81.13000000000001,-0.26,-0.34,-0.37
0803658486,Amazon,117.38,New,Perpetual Textbooks,52.87,Used - Acceptable,True,52.87,70.3171,-0.55,-0.59,-0.62
